meter_id,risk_score,risk_category
MT_001,0.644684628941251,Medium Risk
MT_002,0.11614219114219115,Low Risk
MT_003,0.0452020202020202,Low Risk
MT_004,0.00909090909090909,Low Risk
MT_005,0.00909090909090909,Low Risk
MT_006,0.00909090909090909,Low Risk
MT_007,0.0452020202020202,Low Risk
MT_008,0.08205128205128205,Low Risk
MT_009,0.00909090909090909,Low Risk
MT_010,0.0,Low Risk
MT_011,0.035586635586635586,Low Risk
MT_012,0.0,Low Risk
MT_013,0.0,Low Risk
MT_014,0.0,Low Risk
MT_015,0.0,Low Risk
MT_016,0.4835491217026874,Medium Risk
MT_017,0.15760887031459817,Low Risk
MT_018,0.037606837606837605,Low Risk
MT_019,0.10427350427350426,Low Risk
MT_020,0.04871794871794872,Low Risk
MT_021,0.0202020202020202,Low Risk
MT_022,0.00909090909090909,Low Risk
MT_023,0.03333333333333333,Low Risk
MT_024,0.09391996891996891,Low Risk
MT_025,0.034090909090909095,Low Risk
MT_026,0.0737179487179487,Low Risk
MT_027,0.0202020202020202,Low Risk
MT_028,0.00909090909090909,Low Risk
MT_029,0.00909090909090909,Low Risk
MT_030,0.06723992668734736,Low Risk
MT_031,0.0202020202020202,Low Risk
MT_032,0.08280885780885781,Low Risk
MT_033,0.034090909090909095,Low Risk
MT_034,0.7333333333333334,High Risk
MT_035,0.023236547963350365,Low Risk
MT_036,0.009090909090909193,Low Risk
MT_037,0.01111111111111111,Low Risk
MT_038,0.08205128205128205,Low Risk
MT_039,0.0737179487179487,Low Risk
MT_040,0.15618159705188733,Low Risk
MT_041,0.04863320048058406,Low Risk
MT_042,0.04871794871794872,Low Risk
MT_043,0.05969785146633657,Low Risk
MT_044,0.04871794871794872,Low Risk
MT_045,0.00909090909090909,Low Risk
MT_046,0.00909090909090909,Low Risk
MT_047,0.0202020202020202,Low Risk
MT_048,0.17457473741184187,Low Risk
MT_049,0.024475524475524476,Low Risk
MT_050,0.00909090909090909,Low Risk
MT_051,0.08205128205128205,Low Risk
MT_052,0.035586635586635586,Low Risk
MT_053,0.04871794871794872,Low Risk
MT_054,0.08205128205128205,Low Risk
MT_055,0.1494623556638787,Low Risk
MT_056,0.5767448108403888,Medium Risk
MT_057,0.00909090909090909,Low Risk
MT_058,0.7333333333333334,High Risk
MT_059,0.07937270642077478,Low Risk
MT_060,0.12927350427350426,Low Risk
MT_061,0.0,Low Risk
MT_062,0.0202020202020202,Low Risk
MT_063,0.12927350427350426,Low Risk
MT_064,0.0,Low Risk
MT_065,0.0202020202020202,Low Risk
MT_066,0.025,Low Risk
MT_067,0.0452020202020202,Low Risk
MT_068,0.10705128205128207,Low Risk
MT_069,0.00909090909090909,Low Risk
MT_070,0.035586635586635586,Low Risk
MT_071,0.035586635586635586,Low Risk
MT_072,0.00909090909090909,Low Risk
MT_073,0.0,Low Risk
MT_074,0.04615443922358853,Low Risk
MT_075,0.0202020202020202,Low Risk
MT_076,0.0202020202020202,Low Risk
MT_077,0.2338819040312678,Low Risk
MT_078,0.00909090909090909,Low Risk
MT_079,0.034090909090909095,Low Risk
MT_080,0.09594017094017093,Low Risk
MT_081,0.035586635586635586,Low Risk
MT_082,0.0202020202020202,Low Risk
MT_083,0.038143166990321456,Low Risk
MT_084,0.00909090909090909,Low Risk
MT_085,0.0737179487179487,Low Risk
MT_086,0.0202020202020202,Low Risk
MT_087,0.0828088578088578,Low Risk
MT_088,0.0,Low Risk
MT_089,0.00909090909090909,Low Risk
MT_090,0.11614219114219115,Low Risk
MT_091,0.10705128205128203,Low Risk
MT_092,0.00909090909090909,Low Risk
MT_093,0.4170967280229446,Medium Risk
MT_094,0.07853535353535353,Low Risk
